Property Name,Bind To Column,Property Class,Key Sequence,Read Only,Required,Default From,List Source,Description
cmr_num,cmr_num,,1,False,False,AUTONUMBER(STEP(1)),,"CMR number, key, auto-generated."
status,status,,,False,False,,,Overall CMR status. Fixed value list not yet confirmed.
workflow_status,workflow_status,,,False,False,,,Workflow status. Fixed value list not yet confirmed.
create_date,create_date,CurrentDate,,True,False,,,Set once at creation.
created_by,created_by,UserName,,True,False,UserName(),,Set once at creation.
priority,priority,,,False,True,,,High/Medium/Low expected - confirm exact list.
item,item,Item,,False,False,,"STDOLE SLItems( PROPERTIES(Item, Description) )",
item_description,item_description,Description,,True,False,,,"Read-only display, populated by lookup."
wc,wc,Wc,,False,False,,"STDOLE SLWcs( PROPERTIES(Wc, Description) )",
wc_description,wc_description,Description,,True,False,,,"Read-only display, populated by lookup."
dept,dept,Dept,,False,False,,"STDOLE SLDepts( PROPERTIES(Dept, Description) )",
dept_description,dept_description,Description,,True,False,,,"Read-only display, populated by lookup."
initial_change,initial_change,,,False,True,,,Fixed 8-value list: Documentation/Machine/Material/Other/Process/Specification/Tooling/Variance(waiver). Drives the Requirements cascade.
additional_changes,additional_changes,,,False,False,,,Long/growing note.
requested_action,requested_action,,,False,False,,,
general_note,general_note,QCLongChar,,False,False,,,
revision,revision,Revision,,False,False,,,Drawing Revision.
latest_revision,latest_revision,Revision,,False,False,,,
next_assy_item,next_assy_item,Item,,False,False,,STDOLE SLJobmatls( PROPERTIES(JobItem) DISPLAY(1) READMODE(UNCOMMITTED) DISTINCT() FILTER(Item='P(item)') RECORDCAP(0)),Next Level Assembly item.
next_assy_description,next_assy_description,Description,,True,False,,,"Read-only display, populated by lookup."
vendor,vendor,VendNum,,False,False,,"STDOLE SLVendors( PROPERTIES(VendNum, Name) )",
vendor_name,vendor_name,Name,,True,False,,,"Read-only display, populated by lookup."
qty,qty,QtyUnit,,False,False,,,
job_num,job_num,,,False,False,,,"Free-text for v1 - legacy SLMatltrans filter had a leading-zero bug, not carried over."
po_num,po_num,PoNum,,False,False,,"STDOLE SLPoItems( PROPERTIES(PoNum,Item,PoLine) DISPLAY(1,2,3) READMODE(UNCOMMITTED) DISTINCT() FILTER(PoNum=FP(po_num)) RECORDCAP(0))",
po_line,po_line,PoLine,,False,False,,"STDOLE SLPoItems( PROPERTIES(PoLine,Item,PoNum) DISPLAY(1,2,3) READMODE(UNCOMMITTED) DISTINCT() FILTER(PoNum='P(po_num)') RECORDCAP(0))",
rfq_num,rfq_num,,,False,False,,,
eo_num,eo_num,,,False,False,,,
mdl,mdl,,,False,False,,,
poc,poc,,,False,False,,,"Point of contact, free text."
req_costing,req_costing,ListYesNo,,False,False,,,Cascades off initial_change.
cost_review_complete,cost_review_complete,ListYesNo,,False,False,,,
req_documentation,req_documentation,ListYesNo,,False,False,,,Cascades off initial_change.
documentation_review_complete,documentation_review_complete,ListYesNo,,False,False,,,
req_tool_machine,req_tool_machine,ListYesNo,,False,False,,,Cascades off initial_change.
machinery_review_complete,machinery_review_complete,ListYesNo,,False,False,,,
req_process,req_process,ListYesNo,,False,False,,,Cascades off initial_change.
process_review_complete,process_review_complete,ListYesNo,,False,False,,,
req_material,req_material,ListYesNo,,False,False,,,Cascades off initial_change.
material_review_complete,material_review_complete,ListYesNo,,False,False,,,
general_review_complete,general_review_complete,ListYesNo,,False,False,,,
sox_impacted,sox_impacted,ListYesNo,,False,False,,,"Sarbanes-Oxley impact flag, standalone (not part of the 5-category cascade)."
hold_on_po,hold_on_po,ListYesNo,,False,False,,,
auth_supplier_ship,auth_supplier_ship,ListYesNo,,False,False,,,
qc_disposition,qc_disposition,,,False,False,,,Fixed value list not yet confirmed.
eng_disposition,eng_disposition,,,False,False,,,Fixed value list not yet confirmed.
assigned_empnum,assigned_empnum,EmpNum,,False,False,,"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
assigned_username,assigned_username,Username,,True,False,,,"Read-only display, auto-populated when assigned_empnum is selected."
assigned_buyer,assigned_buyer,Username,,False,False,UserName(),"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
qc_reviewer_empnum,qc_reviewer_empnum,EmpNum,,False,False,,"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
qc_reviewer_username,qc_reviewer_username,Username,,True,False,,,"Read-only display, auto-populated when qc_reviewer_empnum is selected."
eng_reviewer_empnum,eng_reviewer_empnum,EmpNum,,False,False,,"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
eng_reviewer_username,eng_reviewer_username,Username,,True,False,,,"Read-only display, auto-populated when eng_reviewer_empnum is selected."
